index	plot	subplot	plotid	plant	plantid	status_18	status_18r2	status_19	status_20	transition_1819	transition_1920	transition_181920	check_19_20_20	census18	notes_18	other_notes_18	census18r2	other_notes_18r2	pheno18	floral18	seeds18	leaf18	licor18	census19	notes_19	other_notes_19	pheno19	floral19	seeds19	leaf19	licor19	census20	notes_20	other_notes_20	pheno20	floral20	volatiles20	seeds20	leaf20	licor20	total_obs
283	2	B	2B	201	2B201	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1										1	blank		4	5	1			1	nf								13
284	2	B	2B	202	2B202	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1										1	blank		3	4	1			1	nf								11
285	2	B	2B	207	2B207																																1				1
286	2	B	2B	214	2B214																										2										2
287	2	B	2B	219	2B219																																1				1
288	2	B	2B	220	2B220																																1				1
289	2	B	2B	290	2B290																														1						1
290	2	B	2B	81	2B81	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	ts	ts						1	blank		3	3	2	1			13
291	2	B	2B	82	2B82	vegetative	dead_nf	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1	totally dead						1	nf	nf						1	nf								4
292	2	B	2B	83	2B83	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank	L of tag						1	blank		5	4	1	1			15
293	2	B	2B	84	2B84	vegetative	no_record	flowering	flowering	vegetative > flowering	flowering > flowering	vegetative > flowering > flowering		1	tagnf									1	blank		4	4	1			1	dead		1	1		1			15
294	2	B	2B	85	2B85	vegetative	no_record	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	tagnf									1	blank						2	1	blank		4	4		1			14
295	2	B	2B	86	2B86	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	ts	ID ; ts					2	1	blank		6	2		1			15
296	2	B	2B	87	2B87	flowering	no_record	flowering	vegetative	flowering > flowering	flowering > vegetative	flowering > flowering > vegetative	flowered and lived?	1	tagnf				3	1				1	blank	R of tag	3	1				2	blank								12
297	2	B	2B	88	2B88	vegetative	no_record	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	tagnf									1	nf	nf						1	nf								3
298	2	B	2B	89	2B89	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank	L of tag						1	blank		5	5	1	1			16
299	2	B	2B	90	2B90	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1					2		1	nf	nf						1	nf								6
300	2	B	2B	91	2B91	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	tagnf last year	1	tagnf				11	3				1	tagnf	tagnf						1	nf								17
301	2	B	2B	92	2B92	vegetative	vegetative	flowering	flowering	vegetative > flowering	flowering > flowering	vegetative > flowering > flowering	flowered twice?	1	tagnf		1							1	blank		4	3	1			1	blank		3	2		1			18
302	2	B	2B	93	2B93	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1					2		1	ts	above tag; 2ts				1		1	blank						2		9
303	2	B	2B	94	2B94	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				14	3	1			1	dead	dead						2	nf								22
304	2	B	2B	95	2B95	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1							1	blank							1	nf								4
305	2	B	2B	96	2B96	vegetative	no_record	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	tagnf									1	dead	dead						1	tagnf								3
306	2	B	2B	97	2B97	vegetative	no_record	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	tagnf									1	blank	r of tag						1	blank		4	4		1			12
307	2	B	2B	98	2B98	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				12	3	1			1	nf	nf						1	nf								19
308	2	B	2B	99	2B99	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1							1	blank		3	4	1			1	nf								12
309	2	C	2C	100	2C100	flowering	vegetative	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank		1		8	6	1			1	dead	dead						1	nf								19
310	2	C	2C	109	2C109																								1												1
311	2	C	2C	189_18	2C189_18														1																						1
312	2	C	2C	2	2C2																								1												1
313	2	C	2C	200	2C200														1																						1
314	2	C	2C	202	2C202	vegetative	no_record	flowering	vegetative	vegetative > flowering	flowering > vegetative	vegetative > flowering > vegetative	flowered and lived?	1										1	blank		3	6	1			1	blank								13
315	2	C	2C	206	2C206														2																						2
316	2	C	2C	212	2C212														1																						1
317	2	C	2C	218	2C218														2																						2
318	2	C	2C	226	2C226														1																						1
319	2	C	2C	238	2C238															1																					1
320	2	C	2C	254	2C254															2																					2
321	2	C	2C	256_20	2C256_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	check tag #																			1	nf								1
322	2	C	2C	258	2C258	flowering	no_record	vegetative	vegetative	flowering > vegetative	vegetative > vegetative	flowering > vegetative > vegetative		1	blank				12		1		2	1	blank							1	blank								18
323	2	C	2C	259	2C259	vegetative	vegetative	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		1	blank		1							1	ts	below tag; ts						1	tagnf								4
324	2	C	2C	260	2C260	vegetative	no_record	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	ts									1	blank							1	nf								3
325	2	C	2C	261	2C261	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	tagnf last year	1	blank		1							1	tagnf	tagnf					2	1	blank						2	2	10
326	2	C	2C	262	2C262	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank							1	blank		4	4	1	1			14
327	2	C	2C	263	2C263	vegetative	dead_nf	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1	dead						1	dead	dead						1	nf								4
328	2	C	2C	263_18	2C263_18														1																						1
329	2	C	2C	264	2C264	vegetative	vegetative	tagnf	dead_nf	vegetative > tagnf	tagnf > dead_nf	vegetative > tagnf > dead_nf		1	blank		1							1	tagnf	tagnf						1	nf								4
330	2	C	2C	265	2C265	flowering	vegetative	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank		1		10	9	1			1	dead	dead						1	nf								24
331	2	C	2C	266	2C266	flowering	no_record	vegetative	tagnf	flowering > vegetative	vegetative > tagnf	flowering > vegetative > tagnf		1	blank	probably 13 rosettes ll=13 is all other rosettes combined			15	4	1			1	blank							1	tagnf								23
332	2	C	2C	266_19	2C266_19																						1														1
333	2	C	2C	267	2C267	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1						2	1	blank						1	1	chewed						1		8
334	2	C	2C	268	2C268	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1					2		1	blank		3	6	1			1	dead								16
335	2	C	2C	269	2C269	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead						1	nf								4
336	2	C	2C	270	2C270	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	refound?	1	blank		1						4	1	nf	nf						1	blank		2	2	2	1			15
337	2	C	2C	271	2C271	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank					2	2	1	chewed		1						9
338	2	C	2C	272	2C272	vegetative	vegetative	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		1	blank		1						2	1	blank							1	tagnf								6
339	2	C	2C	272_19	2C272_19																						1														1
340	2	C	2C	273	2C273	vegetative	no_record	tagnf	dead_nf	vegetative > tagnf	tagnf > dead_nf	vegetative > tagnf > dead_nf		1	ts									1	tagnf	tagnf						1	nf								3
341	2	C	2C	274	2C274	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	refound?	1	blank		1					2		1	nf	nf						1	blank	3 near plant	5	4	1	1			17
342	2	C	2C	275	2C275	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				15	2	1			1	dead	dead															20
343	2	C	2C	275_20	2C275_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	resurrected?																			1	blank						1		2
344	2	C	2C	276	2C276	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				13	4	1			1	nf	nf						1	nf								21
345	2	C	2C	277	2C277	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	tagnf last year	1	blank		1							1	tagnf	tagnf	2	4	1			1	blank	close to flower	5	2	2	1			21
346	2	C	2C	278	2C278	vegetative	no_record	tagnf	dead_nf	vegetative > tagnf	tagnf > dead_nf	vegetative > tagnf > dead_nf	tagnf last year	1	ts									1	tagnf	tagnf						1	nf								3
347	2	C	2C	279	2C279	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				12	7	1			1	nf	nf						1	tagnf								23
348	2	C	2C	280	2C280	vegetative	no_record	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		1	ts									1	blank							1	tagnf								3
349	2	C	2C	280_20	2C280_20																														1						1
350	2	C	2C	281	2C281	flowering	vegetative	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank		1		4					1	nf	nf						1	nf								8
351	2	C	2C	282	2C282	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1					2		1	blank			2	1	3		1	nf								12
352	2	C	2C	283	2C283	vegetative	no_record	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	ts									1	nf	nf						1	nf								3
353	2	C	2C	284	2C284	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				12	3	1			1	nf	nf															18
354	2	C	2C	284_20	2C284_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	refound?																			1	blank						2		3
355	2	C	2C	285	2C285	vegetative	no_record	flowering	vegetative	vegetative > flowering	flowering > vegetative	vegetative > flowering > vegetative	count leaves	1	ts									1	blank		3	4	1			1	blank								11
356	2	C	2C	286	2C286	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	died and nf?	1	blank		1							1	blank		3	3	1			1	nf								11
357	2	C	2C	287	2C287	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank							1	chewed		1						5
358	2	C	2C	288	2C288	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1							1	blank		3	4	1			1	tagnf								12
359	2	C	2C	289	2C289	vegetative	no_record	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	tagnf last year	1	ts									1	tagnf	tagnf						1	blank		3	2	1	1			10
360	2	C	2C	290	2C290	vegetative	no_record	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	ts									1	blank							1	nf								3
361	2	C	2C	291	2C291	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank	JP: checked 147 leaves against scan, OK			14	5	1			1	dead	dead															22
362	2	C	2C	291_20	2C291_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	resurrected?																			1	blank								1
363	2	C	2C	292	2C292	vegetative	no_record	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	ts									1	blank					2		1	blank		4	3	1	1			14
364	2	C	2C	293	2C293	vegetative	no_record	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	ts									1	blank						4	1	blank		4	3	1	1			16
365	2	C	2C	294	2C294	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				12	2	1			1	dead	dead															17
366	2	C	2C	294_20	2C294_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	resurrected?																			1	blank								1
367	2	C	2C	295	2C295	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank	maybe 8-9 rosettes			3	4				1	dead	dead						1	nf								10
368	2	C	2C	296	2C296	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank					2	2	1	blank						2	2	12
369	2	C	2C	297	2C297	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1					2	2	1	dead	dead											1				8
370	2	C	2C	297_20	2C297_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	resurrected?																			1	blank	(+)1 veg. rosette far from tag (left)	3	5		1			10
371	2	C	2C	298	2C298	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	died and nf?	1	blank		1						3	1	ts	3 ts	3	4	1			1	nf								15
372	2	C	2C	299	2C299	vegetative	no_record	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf		1	ts									1	tagnf	tagnf					4	1	nf								7
373	2	C	2C	299_18	2C299_18														1																						1
374	2	C	2C	300	2C300	vegetative	no_record	flowering	vegetative	vegetative > flowering	flowering > vegetative	vegetative > flowering > vegetative	flowered and lived?	1	ts									1	blank		3	7	2			1	blank								15
375	2	C	2C	34	2C34														1																						1
376	2	C	2C	85	2C85																								1												1
377	2	C	2C	89	2C89	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				13		1			1	nf	nf						1	tagnf								17
378	2	C	2C	90	2C90	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				12	7	1			1	dead	dead						1	nf								23
379	2	C	2C	91	2C91	vegetative	no_record	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	ts									1	dead	dead						1	nf								3
380	2	C	2C	99	2C99	vegetative	vegetative	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		1	blank		1							1	blank							1	tagnf								4
381	2	C	2C	UNT_2020-07-31_14	2CUNT_2020-07-31_14																																			1	1
382	2	C	2C	UNT_2020-07-31_15	2CUNT_2020-07-31_15																																			1	1
383	2	D	2D	100	2D100														1																						1
384	2	D	2D	183	2D183	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank					2		1	blank								6
385	2	D	2D	184	2D184	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank	L of tag					2	1	blank	3 plants counted big one to the left					2	2	10
386	2	D	2D	185	2D185	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1							1	ts	ts						1	nf								4
387	2	D	2D	186	2D186	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank	r of tag						1	blank						2		6
388	2	D	2D	187	2D187	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1						2	1	ts	3ts						1	blank		6	5	1	1			19
389	2	D	2D	188	2D188	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	ts	4ts						1	blank								4
390	2	D	2D	189	2D189	flowering	vegetative	vegetative	tagnf	flowering > vegetative	vegetative > tagnf	flowering > vegetative > tagnf		1	blank		1		12	7	1			1	ts	below ts tag						1	tagnf								24
391	2	D	2D	190	2D190	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank	below tag						1	blank						2		6
392	2	D	2D	191	2D191	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	ts	ts						1	blank		2			1			7
393	2	D	2D	192	2D192	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead															3
394	2	D	2D	192_20	2D192_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	resurrected?																			1	blank								1
395	2	D	2D	193	2D193	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1						2	1	blank							1	blank		5	7	1	1			20
396	2	D	2D	194	2D194	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1					2	2	1	blank					1	2	1	blank		5	5		1			22
397	2	D	2D	195	2D195	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank						4	1	blank						2		10
398	2	D	2D	196	2D196	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1					2	4	1	nf	nf															9
399	2	D	2D	196_20	2D196_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	refound?																			1	blank								1
400	2	D	2D	197	2D197	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1						2	1	nf	nf															5
401	2	D	2D	197_20	2D197_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	refound?																			1	blank								1
402	2	D	2D	198	2D198	vegetative	vegetative	tagnf	tagnf	vegetative > tagnf	tagnf > tagnf	vegetative > tagnf > tagnf		1	blank		1							1	tagnf	tagnf						1	tagnf								4
403	2	D	2D	199	2D199	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank	r of tag						1	blank								4
404	2	D	2D	199_18	2D199_18															1																					1
405	2	D	2D	200	2D200	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				15	3	1			1	dead	dead						1	nf								22
406	2	D	2D	201	2D201	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank							1	blank								4
407	2	D	2D	202	2D202	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	nf	nf						1	dead								4
408	2	D	2D	203	2D203	vegetative	vegetative	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		1	blank		1							1	ts	ts						1	tagnf								4
409	2	D	2D	204	2D204	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1					2		1	blank					1		1	blank		7	8	1	1			24
410	2	D	2D	205	2D205	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1							1	blank		3	4	1			1	nf								12
411	2	D	2D	206	2D206	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank	maybe more rosettes			15	3	1			1	dead	dead						2	nf								23
412	2	D	2D	207	2D207	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	flowered twice?	1	blank	maybe more rosettes	1							1	blank							1	blank		5	3		1			13
413	2	D	2D	208	2D208	vegetative	vegetative	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		1	blank		1							1	blank							1	tagnf								4
414	2	D	2D	209	2D209	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1							1	blank		3	4	1			2	dead								13
415	2	D	2D	210	2D210	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank	below tag				2	2	1	blank		6	4		1			19
416	2	D	2D	211	2D211	vegetative	vegetative	flowering	vegetative	vegetative > flowering	flowering > vegetative	vegetative > flowering > vegetative	flowered and lived?	1	blank		1					2	2	1	blank		3	5	1			1	blank	flowered last year						2	19
417	2	D	2D	212	2D212	flowering	no_record	flowering	dead_nf	flowering > flowering	flowering > dead_nf	flowering > flowering > dead_nf		1	blank	maybe more rosettes			12	4	1			1	blank	below tag	4	4	1			1	dead								29
418	2	D	2D	213	2D213	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank	JP:NA in r2_leaves	1							1	blank	below tag	1	1	1	2		2	dead								10
419	2	D	2D	214	2D214	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	ts	ts						1	blank		1		1	1			7
420	2	D	2D	215	2D215	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank					2	2	1	chewed								8
421	2	D	2D	215_20	2D215_20																														1						1
422	2	D	2D	216	2D216	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead														2	5
423	2	D	2D	216_20	2D216_20	no_record	no_record	no_record	dead_nf	no_record > no_record	no_record > dead_nf	no_record > no_record > dead_nf	resurrected?																			1	blank								1
424	2	D	2D	217	2D217	vegetative	vegetative	flowering	vegetative	vegetative > flowering	flowering > vegetative	vegetative > flowering > vegetative	resurrected?	1	blank		1							1	dead	dead	1	4	1			1	blank								10
425	2	D	2D	217_18	2D217_18														1																						1
426	2	D	2D	218	2D218	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	tagnf last year	1	blank				14	7	1			1	tagnf	tagnf						1	nf								25
427	2	D	2D	219	2D219	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank						4	1	blank		7	5		1			21
428	2	D	2D	220	2D220	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank						2	1	blank		3	1		1			11
429	2	D	2D	221	2D221	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1										1	blank		4	4	1			1	nf								12
430	2	D	2D	222	2D222	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1										1	blank		4	4	1			1	nf								12
431	2	D	2D	223	2D223	no_record	no_record	no_record	tagnf	no_record > no_record	no_record > tagnf	no_record > no_record > tagnf																				1	tagnf								1
432	2	D	2D	223_19	2D223_19	no_record	no_record	flowering	dead_nf	no_record > flowering	flowering > dead_nf	no_record > flowering > dead_nf												1	blank																1
433	2	D	2D	224	2D224	no_record	no_record	no_record	tagnf	no_record > no_record	no_record > tagnf	no_record > no_record > tagnf																				1	tagnf								1
434	2	D	2D	224_19	2D224_19	no_record	no_record	flowering	dead_nf	no_record > flowering	flowering > dead_nf	no_record > flowering > dead_nf												1	blank																1
435	2	D	2D	225	2D225	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf	check tag #	1										1			3	5	1			1	nf								12
436	2	D	2D	256	2D256	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1										1	blank		3	3	3			2	dead								13
437	2	D	2D	257	2D257	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1										1	blank		4	4	1			2	dead								13
438	2	D	2D	258	2D258	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1					1					1	blank			5	1			1	dead								10
439	2	D	2D	258_19	2D258_19																						2														2
440	2	D	2D	265	2D265														1																						1
441	2	D	2D	266	2D266														1																						1
442	2	D	2D	275	2D275														1																						1
443	2	D	2D	276	2D276														1																						1
444	2	D	2D	277	2D277																							1													1
445	2	D	2D	279	2D279														1																						1
446	2	D	2D	284	2D284														1																						1
447	2	D	2D	291	2D291														1																						1
448	2	D	2D	294	2D294														1																						1
449	2	D	2D	295	2D295														1																						1
450	2	D	2D	89	2D89															1																					1
451	2	D	2D	90	2D90														1																						1
452	2	D	2D	93	2D93																														1						1
453	2	D	2D	94	2D94																														1						1
454	3	A	3A	120	3A120	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1							1	blank		3	4	1			1	nf								12
455	3	A	3A	121	3A121	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1							1	blank							1	nf								4
456	3	A	3A	122	3A122	vegetative	dead_nf	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1	dead						1	nf	nf						1	tagnf								4
457	3	A	3A	123	3A123	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead						1	nf								4
458	3	A	3A	124	3A124	vegetative	vegetative	vegetative	tagnf	vegetative > vegetative	vegetative > tagnf	vegetative > vegetative > tagnf		1	blank		1							1	chewed	eaten;ts						1	tagnf								4
