plantid	cen181920	size20	notes1818r2_19_20chk1920	data_entry	scribe	observer	date	other_notes	stalks	status	n_rosettes	r1_longest	r1_leaves	r2_longest	r2_leaves	r3_longest	r3_leaves	r4_longest	r4_leaves	r5_longest	r5_leaves	r6_longest	r6_leaves	r7_longest	r7_leaves	plot	subplot	plotid	plant	year	water	snow	plot_x	plot_y	subplot_x	subplot_y	water4
2C91	V |DNF|DNF	0,,	,|dead|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	C	2C	91	2021	Reduction	Early	1	0	-1	-1	Reduction
2C99	V | V |TNF	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	C	2C	99	2021	Reduction	Early	1	0	-1	-1	Reduction
2D183	V | V | V	1,10,38	,||,	XL	XL	RT	2021-06-16T00:00:00Z	recheck - count stalks and rosettes	NA	flowering	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	183	2021	Addition	Early	1	0	1	-1	Addition
2D184	V | V | V	1,24,65	,|L of tag|3 plants counted big one to the left,	XL	XL	RT	2021-06-16T00:00:00Z	recheck - count stalks and rosettes	NA	flowering	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	184	2021	Addition	Early	1	0	1	-1	Addition
2D185	V | V |DNF	0,,	,|ts|,died and nf?	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	185	2021	Addition	Early	1	0	1	-1	Addition
2D186	V | V | V	2,17,55	,|r of tag|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	2	43	23	44	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	186	2021	Addition	Early	1	0	1	-1	Addition
2D187	V | V | F	,,	,|3ts|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	187	2021	Addition	Early	1	0	1	-1	Addition
2D188	V | V | V	2,15,34	,|4ts|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	2	40	12	32	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	188	2021	Addition	Early	1	0	1	-1	Addition
2D189	F | V |TNF	,,	,|below ts tag|,	XL	XL	RT	2021-06-16T00:00:00Z	TAG FOUND	NA	vegetative	1	44	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	189	2021	Addition	Early	1	0	1	-1	Addition
2D190	V | V | V	1,21,38	,|below tag|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	2	43	24	44	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	190	2021	Addition	Early	1	0	1	-1	Addition
2D191	V | V | F	1,,	,|ts|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	191	2021	Addition	Early	1	0	1	-1	Addition
2D192	V |DNF|DNF	,,	,|dead|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	192	2021	Addition	Early	1	0	1	-1	Addition
2D192_20	V |DNF|DNF	1,17,50	,||,resurrected?	XL	XL	RT	2021-06-16T00:00:00Z	recheck - count stalks and rosettes	NA	flowering	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	192_20	2021	Addition	Early	1	0	1	-1	Addition
2D193	V | V | F	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	193	2021	Addition	Early	1	0	1	-1	Addition
2D194	V | V | F	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	194	2021	Addition	Early	1	0	1	-1	Addition
2D195	V | V | V	1,25,32	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	2	38	10	32	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	195	2021	Addition	Early	1	0	1	-1	Addition
2D196	V |DNF|DNF	,,	,|nf|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	196	2021	Addition	Early	1	0	1	-1	Addition
2D196_20	V |DNF|DNF	3,10,48	,||,refound?	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	4	48	10	53	11	44	12	51	9	NA	NA	NA	NA	NA	NA	2	D	2D	196_20	2021	Addition	Early	1	0	1	-1	Addition
2D197	V |DNF|DNF	,,	,|nf|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	197	2021	Addition	Early	1	0	1	-1	Addition
2D197_20	V |DNF|DNF	2,25,76	,||,refound?	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	4	53	17	49	13	52	14	58	13	NA	NA	NA	NA	NA	NA	2	D	2D	197_20	2021	Addition	Early	1	0	1	-1	Addition
2D198	V |TNF|TNF	,,	,|tagnf|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	198	2021	Addition	Early	1	0	1	-1	Addition
2D199	V | V | V	1,27,44	,|r of tag|,	XL	XL	RT	2021-06-16T00:00:00Z	recheck - count stalks and rosettes	NA	flowering	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	199	2021	Addition	Early	1	0	1	-1	Addition
2D200	F |DNF|DNF	0,,	,|dead|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	200	2021	Addition	Early	1	0	1	-1	Addition
2D201	V | V | V	1,41,40	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	3	43	19	43	11	40	18	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	201	2021	Addition	Early	1	0	1	-1	Addition
2D202	V |DNF|DNF	0,,	,|nf|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	202	2021	Addition	Early	1	0	1	-1	Addition
2D203	V | V |TNF	,,	,|ts|,	XL	XL	RT	2021-06-16T00:00:00Z	TAG FOUND	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	203	2021	Addition	Early	1	0	1	-1	Addition
2D204	V | V | F	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	204	2021	Addition	Early	1	0	1	-1	Addition
2D205	V | F |DNF	0,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	205	2021	Addition	Early	1	0	1	-1	Addition
2D206	F |DNF|DNF	0,,	maybe more rosettes,|dead|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	206	2021	Addition	Early	1	0	1	-1	Addition
2D207	V | V | F	,,	maybe more rosettes,||,flowered twice?	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	207	2021	Addition	Early	1	0	1	-1	Addition
2D208	V | V |TNF	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	TAG FOUND	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	208	2021	Addition	Early	1	0	1	-1	Addition
2D209	V | F |DNF	0,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	209	2021	Addition	Early	1	0	1	-1	Addition
2D210	V | V | F	,,	,|below tag|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	210	2021	Addition	Early	1	0	1	-1	Addition
2D211	V | F | V	1,22,62	,||flowered last year,flowered and lived?	XL	XL	RT	2021-06-16T00:00:00Z	recheck - count stalks and rosettes	NA	flowering	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	211	2021	Addition	Early	1	0	1	-1	Addition
2D212	F | F |DNF	0,,	maybe more rosettes,|below tag|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	1	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	212	2021	Addition	Early	1	0	1	-1	Addition
2D213	V | F |DNF	0,,	JP:NA in r2_leaves,|below tag|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	213	2021	Addition	Early	1	0	1	-1	Addition
2D214	V | V | F	,,	,|ts|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	214	2021	Addition	Early	1	0	1	-1	Addition
2D215	V | V | V	1,20,44	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	215	2021	Addition	Early	1	0	1	-1	Addition
2D216	V |DNF|DNF	,,	,|dead|,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	216	2021	Addition	Early	1	0	1	-1	Addition
2D216_20	V |DNF|DNF	1,27,35	,||,resurrected?	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	216_20	2021	Addition	Early	1	0	1	-1	Addition
2D217	V | F | V	4,14,38	,|dead|,resurrected?	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	vegetative	4	55	12	45	10	44	11	45	14	NA	NA	NA	NA	NA	NA	2	D	2D	217	2021	Addition	Early	1	0	1	-1	Addition
2D218	F |DNF|DNF	0,,	,|tagnf|,tagnf last year	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	218	2021	Addition	Early	1	0	1	-1	Addition
2D219	V | V | F	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	219	2021	Addition	Early	1	0	1	-1	Addition
2D220	V | V | F	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	220	2021	Addition	Early	1	0	1	-1	Addition
2D221	V | F |DNF	0,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	221	2021	Addition	Early	1	0	1	-1	Addition
2D222	V | F |DNF	0,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	222	2021	Addition	Early	1	0	1	-1	Addition
2D223	NA | F |TNF	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	223	2021	Addition	Early	1	0	1	-1	Addition
2D223_19	NA | F |TNF	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	223_19	2021	Addition	Early	1	0	1	-1	Addition
2D224	NA | F |TNF	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	224	2021	Addition	Early	1	0	1	-1	Addition
2D224_19	NA | F |TNF	,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	224_19	2021	Addition	Early	1	0	1	-1	Addition
2D225	V | F |DNF	0,,	,||,check tag #	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	225	2021	Addition	Early	1	0	1	-1	Addition
2D256	V | F |DNF	0,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	256	2021	Addition	Early	1	0	1	-1	Addition
2D257	V | F |DNF	0,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	257	2021	Addition	Early	1	0	1	-1	Addition
2D258	V | F |DNF	0,,	,||,	XL	XL	RT	2021-06-16T00:00:00Z	TAG CAME OUT - changed from NF to TNF	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	D	2D	258	2021	Addition	Early	1	0	1	-1	Addition
3A120	V | F |DNF	0,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	120	2021	Reduction	Normal	2	0	-1	1	Reduction
3A121	V | V |DNF	0,,	,||,died and nf?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	121	2021	Reduction	Normal	2	0	-1	1	Reduction
3A122	V |DNF|DNF	,,	,dead|nf|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	122	2021	Reduction	Normal	2	0	-1	1	Reduction
3A123	V |DNF|DNF	0,,	,|dead|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	123	2021	Reduction	Normal	2	0	-1	1	Reduction
3A124	V | V |TNF	,,	,|eaten;ts|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	vegetative	1	35	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	124	2021	Reduction	Normal	2	0	-1	1	Reduction
3A125	V | V | F	1,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	125	2021	Reduction	Normal	2	0	-1	1	Reduction
3A126	V |DNF|DNF	,,	,|dead|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	126	2021	Reduction	Normal	2	0	-1	1	Reduction
3A126_20	V |DNF|DNF	1,12,42	,||,resurrected?	JP	DC	DC	2021-06-16T00:00:00Z	recheck - says 2 rosettes but 1 entry	NA	vegetative	2	30	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	126_20	2021	Reduction	Normal	2	0	-1	1	Reduction
3A127	F |DNF|DNF	0,,	,|dead|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	vegetative	3	40	8	55	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	127	2021	Reduction	Normal	2	0	-1	1	Reduction
3A128	F |DNF|DNF	0,,	,||,died and nf?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	128	2021	Reduction	Normal	2	0	-1	1	Reduction
3A129	V | V | V	0,,	,||,died and nf?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	vegetative	4	20	6	35	6	48	13	22	4	NA	NA	NA	NA	NA	NA	3	A	3A	129	2021	Reduction	Normal	2	0	-1	1	Reduction
3A174	NA | F |TNF	,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	174	2021	Reduction	Normal	2	0	-1	1	Reduction
3A174_19	NA | F |TNF	,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	174_19	2021	Reduction	Normal	2	0	-1	1	Reduction
3A269	V | V | F	1,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	269	2021	Reduction	Normal	2	0	-1	1	Reduction
3A270	V | V |DNF	0,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	270	2021	Reduction	Normal	2	0	-1	1	Reduction
3A271	V |DNF|DNF	,,	,|nf|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	271	2021	Reduction	Normal	2	0	-1	1	Reduction
3A272	V | F |DNF	0,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	272	2021	Reduction	Normal	2	0	-1	1	Reduction
3A273	V | V | F	1,,	,||already flagged,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	273	2021	Reduction	Normal	2	0	-1	1	Reduction
3A274	V | F |DNF	0,,	,||,died and nf?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	274	2021	Reduction	Normal	2	0	-1	1	Reduction
3A275	V |DNF|DNF	0,,	,|dead|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	275	2021	Reduction	Normal	2	0	-1	1	Reduction
3A276	V | F |DNF	0,,	,|1 ts|,	JP	DC	DC	2021-06-16T00:00:00Z	recheck - says 1 rosette but 3 entries	NA	vegetative	3	20	11	41	9	49	8	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	276	2021	Reduction	Normal	2	0	-1	1	Reduction
3A277	V | V | V	1,22,48	,||,	JP	DC	DC	2021-06-16T00:00:00Z	recheck - count rosettes	2	flowering	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	277	2021	Reduction	Normal	2	0	-1	1	Reduction
3A278	V | V | F	1,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	278	2021	Reduction	Normal	2	0	-1	1	Reduction
3A632	V | V | V	1,18,50	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	632	2021	Reduction	Normal	2	0	-1	1	Reduction
3A633	V | V |DNF	0,,	,|chewed;ts|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	633	2021	Reduction	Normal	2	0	-1	1	Reduction
3A634	V |DNF|DNF	,,	,|dead|,	JP	DC	DC	2021-06-16T00:00:00Z	says NF (JP added ""T"") but have entry for 3A634_20, so changed to O	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	634	2021	Reduction	Normal	2	0	-1	1	Reduction
3A634_20	V |DNF|DNF	2,23,42	,||,resurrected?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	vegetative	5	41	11	28	6	32	9	36	9	22	4	NA	NA	NA	NA	3	A	3A	634_20	2021	Reduction	Normal	2	0	-1	1	Reduction
3A635	V | F |DNF	0,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	635	2021	Reduction	Normal	2	0	-1	1	Reduction
3A636	V | V | F	1,,	,||already flagged,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	636	2021	Reduction	Normal	2	0	-1	1	Reduction
3A637	V | V | V	2,12,32	,|ts|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	vegetative	2	33	21	45	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	637	2021	Reduction	Normal	2	0	-1	1	Reduction
3A638	V | V | F	2,,	,|above tag|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	638	2021	Reduction	Normal	2	0	-1	1	Reduction
3A639	V |DNF|DNF	0,,	,|dead|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	639	2021	Reduction	Normal	2	0	-1	1	Reduction
3A640	V | V | V	2,7,27	,|eaten;ts|,regrew?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	vegetative	2	25	8	21	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	640	2021	Reduction	Normal	2	0	-1	1	Reduction
3A641	V | V | F	2,,	,||,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	641	2021	Reduction	Normal	2	0	-1	1	Reduction
3A642	V | F |DNF	0,,	,||,died and nf?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	642	2021	Reduction	Normal	2	0	-1	1	Reduction
3A643	V | V | F	1,,	,|nf|,refound?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	643	2021	Reduction	Normal	2	0	-1	1	Reduction
3A644	V | V | V	1,28,33	,|tagnf|,tagnf last year	JP	DC	DC	2021-06-16T00:00:00Z	recheck - says 4 rosettes but 3 entries	NA	vegetative	4	45	12	30	5	38	7	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	644	2021	Reduction	Normal	2	0	-1	1	Reduction
3A645	V |DNF|DNF	,,	,|dead|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	645	2021	Reduction	Normal	2	0	-1	1	Reduction
3A645_20	V |DNF|DNF	1,23,53	,||,resurrected?	JP	DC	DC	2021-06-16T00:00:00Z	recheck - says 3 rosettes but 4 entries	NA	vegetative	3	45	11	50	11	52	10	42	9	NA	NA	NA	NA	NA	NA	3	A	3A	645_20	2021	Reduction	Normal	2	0	-1	1	Reduction
3A645B	V |DNF|DNF	,,	,|dead|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	645B	2021	Reduction	Normal	2	0	-1	1	Reduction
3A646	V |DNF|DNF	1,,	,|dead|,resurrected?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	646	2021	Reduction	Normal	2	0	-1	1	Reduction
3A647	F | V |DNF	0,,	,||,died and nf?	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	647	2021	Reduction	Normal	2	0	-1	1	Reduction
3A647_19	F | V |DNF	,,	,|up L|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	647_19	2021	Reduction	Normal	2	0	-1	1	Reduction
3A648	V | V | V	1,20,43	,||,	JP	DC	DC	2021-06-16T00:00:00Z	recheck - count rosettes	1	flowering	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	648	2021	Reduction	Normal	2	0	-1	1	Reduction
3A649	V | V |TNF	,,	,|chewed;ts|,	JP	DC	DC	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	A	3A	649	2021	Reduction	Normal	2	0	-1	1	Reduction
